"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet Collected Editions, #1)",Kelly Sue DeConnick|(Writer),"4.02 avg rating — 24,732 ratings",False,
"Bitch Planet, Vol. 2: President Bitch",Kelly Sue DeConnick|(writer),"4.27 avg rating — 6,637 ratings",False,
"Bitter Root, Vol. 1: Family Business",David F. Walker,"3.97 avg rating — 2,422 ratings",False,
"Bizenghast, Volume 1 (Bizenghast, #1)",M. Alice LeGrow,"3.79 avg rating — 3,081 ratings",False,
"Black Butler, Vol. 1 (Black Butler, #1)",Yana Toboso,"4.36 avg rating — 135,201 ratings",False,
Black Cherry,Doug TenNapel,3.38 avg rating — 150 ratings,False,
"Black Hammer, Vol. 1: Secret Origins",Jeff Lemire,"4.18 avg rating — 6,940 ratings",False,
"Black Hammer, Vol. 5: Reborn, Part I",Jeff Lemire,3.84 avg rating — 503 ratings,False,
"Black Hammer, Vol. 6: Reborn, Part II",Jeff Lemire,3.58 avg rating — 361 ratings,False,
"Black Hammer: Visions, Vol. 1",Patton Oswalt,3.37 avg rating — 293 ratings,False,
"Black Hammer: Visions, Vol. 2",Scott Snyder,3.52 avg rating — 200 ratings,False,
Black Hammer/Justice League: Hammer of Justice!,Jeff Lemire,3.60 avg rating — 673 ratings,False,
Black Hole: A Graphic Novel,Charles Burns,"3.85 avg rating — 50,472 ratings",False,
"Black Jack, Vol. 1",Osamu Tezuka,"4.11 avg rating — 2,373 ratings",False,
"Black Magick, Vol. 3: Ascension I",Greg Rucka,3.96 avg rating — 718 ratings,False,
Black Orchid,Neil Gaiman,"3.73 avg rating — 11,665 ratings",False,
Black Sand Beach 1: Are You Afraid of the Light?,Richard Fairgray,3.68 avg rating — 231 ratings,False,
"Black Widow, Vol. 1: The Finely Woven Thread",Nathan Edmondson|(Writer),"4.04 avg rating — 10,650 ratings",False,
"Black Widow, Vol. 1: The Name of the Rose",Marjorie M. Liu|(Writer),"4.12 avg rating — 5,962 ratings",False,
"Black Widow, Vol. 1: The Ties That Bind",Kelly Thompson|(Writer),"4.20 avg rating — 1,957 ratings",False,
"Black Widow, Vol. 2: I Am the Black Widow",Kelly Thompson,3.99 avg rating — 968 ratings,False,
"Black Widow, Vol. 3: Die by the Blade",Kelly Thompson|(Writer),4.11 avg rating — 634 ratings,False,
"Black: The Birth of Evil (The Circle: The Graphic Novel, #1)",Ted Dekker,3.96 avg rating — 690 ratings,False,
Blackest Night,Geoff Johns|(Writer),"4.19 avg rating — 11,348 ratings",False,
"Blacksad (Blacksad, #1-3)",Juan Díaz Canales,"4.31 avg rating — 13,287 ratings",False,
Blackward,Lawrence Lindell,4.03 avg rating — 275 ratings,False,
Blake and Mortimer,Edgar P Jacobs,,False,
"Blame!, Vol. 1",Tsutomu Nihei,"4.13 avg rating — 4,812 ratings",False,
Blankets,Craig Thompson,"4.06 avg rating — 118,851 ratings",False,
"Bleach, Volume 1 (Bleach, #1)",Tite Kubo,"4.26 avg rating — 181,485 ratings",False,
Blink,Christopher Sebela,3.05 avg rating — 280 ratings,False,
"Bliss, Vol. 1",Sean Lewis,3.91 avg rating — 198 ratings,False,
Blood City Rollers,V.P. Anderson,3.65 avg rating — 505 ratings,False,
Blood of the Virgin,Sammy Harkham,3.70 avg rating — 797 ratings,False,
Bloodstar,Robert E. Howard,4.08 avg rating — 96 ratings,False,
Blue Beetle: Forever Blue,,,False,
Blue Beetle: Scarab War,,,False,
Blue Beetle:Graduation Day,,,False,
Blue Book Volume 1: 1961,James Tynion IV,3.61 avg rating — 485 ratings,False,
"Blue Exorcist, Vol. 1  (Blue Exorcist, #1)",Kazue Kato,"4.36 avg rating — 77,245 ratings",False,
"Blue Monday, Vol. 1: The Kids Are Alright",Chynna Clugston Flores,"3.79 avg rating — 1,038 ratings",False,
Blue Pills:  A Positive Love Story,Frederik Peeters,"4.02 avg rating — 8,080 ratings",False,
Bob Fish,Yves Chaland,,False,
BodyWorld,Dash Shaw,"3.92 avg rating — 1,559 ratings",False,
Bog Bodies,Declan Shalvey,3.35 avg rating — 680 ratings,False,
Bomb: The Race to Build--and Steal--the World's Most Dangerous Weapon,Steve Sheinkin,4.03 avg rating — 529 ratings,False,
"Bone, Vol. 1: Out from Boneville (Bone, #1)",Jeff Smith,"4.19 avg rating — 89,051 ratings",False,
Bone: Tall Tales,Jeff Smith,"4.38 avg rating — 12,399 ratings",False,
Bone: The Complete Edition,Jeff Smith,"4.45 avg rating — 37,315 ratings",False,
Bones Dust,,,False,
Book Love,Debbie Tung,"4.29 avg rating — 20,904 ratings",False,
Book Title,Book Author,Rating,False,Random Rec
Book Title,Book Author,Rating,False,Random Rec
Booked,Kwame Alexander,4.20 avg rating — 676 ratings,False,
"Books of Earthsea: The Complete Illustrated edition, The",,,False,
"Books of Magic, Vol. 2: Second Quarto",Kat Howard,3.75 avg rating — 563 ratings,False,
"Books of Magic, Vol. 3: Dwelling in Possibility",Kat Howard,3.76 avg rating — 339 ratings,False,
Booster Gold: Day of Death,,,False,
Booster Gold: Reality Lost,,,False,
Borders,Thomas King,"3.93 avg rating — 3,361 ratings",False,
Bottomless Belly Button,Dash Shaw,"4.07 avg rating — 7,134 ratings",False,
"Bountiful Garden (Bountiful Garden, #1-5)",Ivy Noelle Weir|(Writer),3.36 avg rating — 61 ratings,False,
"Bowie: Stardust, Rayguns & Moonage Daydreams",Mike Allred,"3.96 avg rating — 1,488 ratings",False,
Box Office Poison,Alex  Robinson,"3.94 avg rating — 4,446 ratings",False,
"Boxers (Boxers & Saints, #1)",Gene Luen Yang,"3.87 avg rating — 18,125 ratings",False,
Boxers & Saints,Gene Luen Yang,"4.21 avg rating — 1,921 ratings",False,
"Boyfriends. Volume One (Boyfriends, #1)",refrainbow,"4.07 avg rating — 1,089 ratings",False,
"Boyfriends. Volume Two (Boyfriends, #2)",refrainbow,4.20 avg rating — 608 ratings,False,
Brass Sun,Ian Edginton|(Writer),3.64 avg rating — 303 ratings,False,
Brave New World: A Graphic Novel,Fred Fordham|(Adaptor/Illustrator),"3.65 avg rating — 1,861 ratings",False,
Break (Click #6),Kayla Miller,"4.20 avg rating — 1,223 ratings",False,
Breaklands Season One: The Chase,Justin Jordan,3.75 avg rating — 294 ratings,False,
Bright World (The Hazards of Love #1),Stan  Stanley,3.88 avg rating — 754 ratings,False,
Brightly Woven: The Graphic Novel,Alexandra Bracken,"3.55 avg rating — 1,417 ratings",False,
Brina the Cat #2: City Cat,Giorgio Salati,3.96 avg rating — 69 ratings,False,
British Ice,Owen D. Pomery,3.31 avg rating — 375 ratings,False,
Brontë,Manuela Santoni,3.28 avg rating — 575 ratings,False,
"Brooklyn Station, Terminus Cosmos (Valérian and Laureline, #10)",Pierre Christin,3.81 avg rating — 385 ratings,False,
Brooms,Jasmine Walls,"4.24 avg rating — 1,661 ratings",False,
Brownstone,Samuel Teer,"4.28 avg rating — 1,115 ratings",False,
Bubble,Jordan  Morris,"4.00 avg rating — 3,191 ratings",False,
"Buddha, Vol. 1: Kapilavastu (Buddha #1)",Osamu Tezuka,"4.17 avg rating — 8,080 ratings",False,
"Buddha, Vol. 8: Jetavana",Osamu Tezuka,"4.40 avg rating — 2,845 ratings",False,
Buffy the Vampire Slayer Legacy Edition Book One,Andi Watson,3.34 avg rating — 266 ratings,False,
Buffy the Vampire Slayer:  Time of Your Life,Joss Whedon,"3.95 avg rating — 9,600 ratings",False,
Buffy the Vampire Slayer: Freefall,Joss Whedon,"4.03 avg rating — 3,721 ratings",False,
Buffy the Vampire Slayer: Guarded,Andrew Chambliss,"3.79 avg rating — 2,197 ratings",False,
Buffy the Vampire Slayer: Last Gleaming,Joss Whedon,"3.92 avg rating — 5,893 ratings",False,
Buffy the Vampire Slayer: No Future for You,Brian K. Vaughan,"4.11 avg rating — 11,237 ratings",False,
Buffy the Vampire Slayer: On Your Own,Andrew Chambliss,"4.06 avg rating — 3,363 ratings",False,
Buffy the Vampire Slayer: Predators and Prey,Jane Espenson,"3.89 avg rating — 7,077 ratings",False,
Buffy the Vampire Slayer: Remaining Sunlight,Joss Whedon,3.48 avg rating — 178 ratings,False,
Buffy the Vampire Slayer: Retreat,Jane Espenson,"3.94 avg rating — 7,045 ratings",False,
Buffy the Vampire Slayer: Season 11,Joss Whedon|(Creator),4.20 avg rating — 200 ratings,False,
Buffy the Vampire Slayer: Season 12,Christos Gage,3.42 avg rating — 162 ratings,False,
Buffy The Vampire Slayer: The Core,Andrew Chambliss,"4.05 avg rating — 1,791 ratings",False,
Buffy the Vampire Slayer: The Long Way Home,Joss Whedon,"3.95 avg rating — 30,471 ratings",False,
Buffy the Vampire Slayer: Welcome to the Team,Andrew Chambliss,"4.00 avg rating — 2,205 ratings",False,
Buffy the Vampire Slayer: Wolves at the Gate,Drew Goddard,"4.04 avg rating — 9,873 ratings",False,
Bug Boys,Laura Knetzger,"4.08 avg rating — 1,401 ratings",False,
Bug Boys: Outside and Beyond,Laura Knetzger,4.23 avg rating — 566 ratings,False,
Building Stories,Chris Ware,"4.32 avg rating — 7,213 ratings",False,
"Bullet Gal: It's Not You, It's Me",Andrez Bergen|(Illustrator),4.09 avg rating — 23 ratings,False,
Bunbun & Bonbon: Fancy Friends,Jess Keating,3.88 avg rating — 497 ratings,False,
Bunbun & Bonbon: Hoppy Go Lucky,Jess Keating,3.98 avg rating — 249 ratings,False,
Bunny Mask: The Chipping of the Teeth,Paul Tobin,3.67 avg rating — 134 ratings,False,
"Buns Gone Bad (Fluffle Bunnies, Book #1)",Anna Humphrey,3.56 avg rating — 122 ratings,False,
Bunt! Striking Out on Financial Aid,Ngozi Ukazu,4.11 avg rating — 982 ratings,False,
Burma Chronicles,Guy Delisle,"4.00 avg rating — 13,357 ratings",False,
But Like Maybe Don't?: What Not to Do When Dating: An Illustrated Guide,Arianna Margulis,3.84 avg rating — 516 ratings,False,
Button Pusher,Tyler Page,"4.06 avg rating — 1,142 ratings",False,
"By The Horns (By the Horns, 1)",Markisan Naso,4.11 avg rating — 95 ratings,False,
Cages,Dave McKean,"4.14 avg rating — 2,649 ratings",False,
Cairo,G. Willow Wilson,"3.76 avg rating — 2,383 ratings",False,
Call Me Nathan: A Graphic Novel,Catherine Castro,"3.93 avg rating — 2,158 ratings",False,
Calling Dr. Laura,Nicole J. Georges,"3.84 avg rating — 7,042 ratings",False,
Came the Mirror & Other Tales,Rumiko Takahashi,3.79 avg rating — 344 ratings,False,
Camelot 3000,Mike W. Barr,"3.82 avg rating — 1,585 ratings",False,
Camping with Unicorns (Phoebe and Her Unicorn #11),Dana Simpson,"4.26 avg rating — 1,043 ratings",False,
Can't We Talk about Something More Pleasant?,Roz Chast,"4.15 avg rating — 30,786 ratings",False,
Cancer Made Me a Shallower Person: A Memoir in Comics,Miriam Engelberg,3.89 avg rating — 609 ratings,False,
Cancer Vixen,Marisa Acocella Marchetto,"3.73 avg rating — 1,549 ratings",False,
Candy Hearts,Tommy Siegel,4.04 avg rating — 597 ratings,False,
Captain America: The Ghost Army (Original Graphic Novel),Alan Gratz,3.64 avg rating — 776 ratings,False,
"Captain America: Winter Soldier, Vol. 1",Ed Brubaker,"4.17 avg rating — 12,005 ratings",False,
Captain Bun & Super Bonbon (Bunbun & Bonbon #3),Jess Keating,4.13 avg rating — 111 ratings,False,
"Captain Marvel, Vol. 1: Higher, Further, Faster, More",Kelly Sue DeConnick|(Writer),"4.05 avg rating — 18,103 ratings",False,
"Captain Marvel, Vol. 1: In Pursuit of Flight",Kelly Sue DeConnick|(Writer),"3.85 avg rating — 8,833 ratings",False,
Captain Marvel: Game On,,,False,
Cardboard,Doug TenNapel,"4.15 avg rating — 14,502 ratings",False,
"Cardcaptor Sakura, Book 1",Clamp|(Author & Illustrator),"4.45 avg rating — 3,902 ratings",False,
"Cardcaptor Sakura, Vol. 1 (Cardcaptor Sakura, #1)",Clamp,"4.34 avg rating — 25,441 ratings",False,
Caricature,Daniel Clowes,"3.98 avg rating — 3,427 ratings",False,
Carmilla: The First Vampire,Amy Chu,"3.40 avg rating — 1,797 ratings",False,
Carnet de Voyage,Craig Thompson,"3.75 avg rating — 5,099 ratings",False,
"Casanova, Vol. 1: Luxuria",Matt Fraction|(Writer),"3.66 avg rating — 2,298 ratings",False,
Castaways,Pablo Monforte,3.49 avg rating — 765 ratings,False,
"Castle Waiting, Vol. 1 (Castle Waiting Omnibus Collection, #1)",Linda Medley,"4.00 avg rating — 7,281 ratings",False,
Castle Waiting: Lucky Road,Linda Medley,3.92 avg rating — 198 ratings,False,
Cat Massage Therapy Vol. 1,Haru Hisakawa,"4.34 avg rating — 2,394 ratings",False,
Cat Massage Therapy Vol. 2,Haru Hisakawa,"4.38 avg rating — 1,090 ratings",False,
Cat Massage Therapy Vol. 3,Haru Hisakawa,4.39 avg rating — 767 ratings,False,
Cat People: A Comic Collection,Hannah Hillam,4.09 avg rating — 69 ratings,False,
Cat's Cafe,Matt Tarpley,"4.39 avg rating — 2,921 ratings",False,
Catherine's War,Julia Billet,"4.22 avg rating — 2,911 ratings",False,
Cats! Purrfect Strangers,Frédéric Brrémaud,3.12 avg rating — 171 ratings,False,
"Catwoman, Vol. 1: The Dark End of the Street",Ed Brubaker|(Writer),"4.14 avg rating — 1,839 ratings",False,
Catwoman: When in Rome,Jeph Loeb,"3.87 avg rating — 5,381 ratings",False,
Cerebus,Dave Sim,"3.72 avg rating — 3,215 ratings",False,
Chained To The Grave,Andy Eschenbach,2.26 avg rating — 42 ratings,False,
"Charley's War, Volume 1: 2 June – 1 August 1916 (Charley’s War, #1)",Pat  Mills,4.33 avg rating — 358 ratings,False,
Chartwell Manor,Glenn Head,4.10 avg rating — 438 ratings,False,
"Check, Please! Book 1: #Hockey (Check, Please!, #1-2)",Ngozi Ukazu,"4.22 avg rating — 27,062 ratings",False,
"Check, Please! Book 2: Sticks & Scones (Check, Please!, #3-4)",Ngozi Ukazu,"4.39 avg rating — 14,826 ratings",False,
Cheeky: A Head-to-Toe Memoir,Ariella Elovic,4.20 avg rating — 866 ratings,False,
Cheer Up: Love and Pompoms,Crystal Frasier,"4.24 avg rating — 10,176 ratings",False,
Chef Yasmina and the Potato Panic,Wauter Mannaert,3.61 avg rating — 682 ratings,False,
Chef's Kiss,Jarrett Melendez|(Written by),"3.96 avg rating — 7,825 ratings",False,
Cheshire Crossing,Andy Weir,"3.53 avg rating — 6,088 ratings",False,
"Chew, Vol. 1: Taster's Choice",John Layman,"3.96 avg rating — 39,051 ratings",False,
Chicken with Plums,Marjane Satrapi,"3.91 avg rating — 15,218 ratings",False,
Child Star,"Brian ""Box"" Brown",3.61 avg rating — 309 ratings,False,
Children of the Woods,Joe Ciano,3.30 avg rating — 309 ratings,False,
Chivalry,Neil Gaiman,"4.21 avg rating — 5,338 ratings",False,
Chopsticks,Jessica  Anthony,"3.83 avg rating — 28,163 ratings",False,
"Chrno Crusade, Vol. 1 (Chrno Crusade, #1)",Daisuke Moriyama,"4.03 avg rating — 3,338 ratings",False,
Chroniques de Jérusalem,Guy Delisle,"4.21 avg rating — 16,099 ratings",False,
Church and State I,Dave Sim,"4.30 avg rating — 1,396 ratings",False,
Cinema Panopticum,Thomas Ott,"4.10 avg rating — 1,775 ratings",False,
City of Glass,Paul Karasik,"3.97 avg rating — 8,382 ratings",False,
"City of Secrets (City of Secrets, #1)",Victoria Ying,"3.81 avg rating — 1,796 ratings",False,
Civil War: A Marvel Comics Event,Mark Millar|(Writer),"4.10 avg rating — 60,612 ratings",False,
Clan-X : Sherla - Warrior Princess 2 (Vol Book 13),Raphael Jones,4.00 avg rating — 8 ratings,False,
Clash (Click #4),Kayla Miller,"4.16 avg rating — 3,135 ratings",False,
Claudia and the New Girl: A Graphic Novel (The Baby-Sitters Club Graphic Novels #9),Gabriela  Epstein|(Illustrator),"4.18 avg rating — 6,950 ratings",False,
"Claymore, Vol. 1: Silver-eyed Slayer (Claymore, #1)",Norihiro Yagi,"4.09 avg rating — 12,607 ratings",False,
Clear,Scott Snyder,3.70 avg rating — 298 ratings,False,
Clementine: Book One,Tillie Walden,"3.58 avg rating — 3,762 ratings",False,
Clifford the Big Red Dog: The Movie Graphic Novel,Georgia Ball,4.20 avg rating — 138 ratings,False,
Clumsy,Jeffrey Brown,"3.72 avg rating — 5,411 ratings",False,
Colonel Weird: Cosmagog,Jeff Lemire,3.87 avg rating — 518 ratings,False,
"Come Home, Indio",Jim Terry,4.25 avg rating — 456 ratings,False,
Come prima,Alfred,"4.07 avg rating — 1,429 ratings",False,
Comic Book Tattoo,Rantz A. Hoseley|(Editor),"4.10 avg rating — 1,126 ratings",False,
Coming Back,Jessi Zabarsky,"3.51 avg rating — 3,626 ratings",False,
"Conan, Vol. 1: The Frost Giant's Daughter and Other Stories",Kurt Busiek,"4.22 avg rating — 3,026 ratings",False,
"Concrete, Volume 1: Depths",Paul Chadwick,3.85 avg rating — 929 ratings,False,
"Consent (for Kids!): Boundaries, Respect, and Being in Charge of YOU (A Be Smart About Book, 1)",Rachel Brian,4.67 avg rating — 917 ratings,False,
Coraline,P. Craig Russell|(Adaptor/Illustrator),"4.06 avg rating — 37,573 ratings",False,
Corridor,Sarnath Banerjee,3.40 avg rating — 667 ratings,False,
Corto Maltese: La ballade de la mer salée,Hugo Pratt,"4.24 avg rating — 3,608 ratings",False,
"Cottons: The White Carrot (Cottons, 2)",Jim Pascoe,3.96 avg rating — 195 ratings,False,
"Courtney Crumrin and the Night Things (Courtney Crumrin, #1)",Ted Naifeh,"4.04 avg rating — 5,126 ratings",False,
Coven: A Graphic Novel,Jennifer Dugan,"3.75 avg rating — 3,036 ratings",False,
Cowboy,Rikke Villadsen,3.18 avg rating — 135 ratings,False,
Crabapple Trouble,Kaeti Vandorn,3.89 avg rating — 331 ratings,False,
Creature Tech,Doug TenNapel,"3.93 avg rating — 1,153 ratings",False,
Creatures Of The Night,Neil Gaiman,"3.82 avg rating — 2,498 ratings",False,
Crécy,Warren Ellis,"4.04 avg rating — 1,352 ratings",False,
"Crime Across Time (Officer Clawsome, #2)","Brian ""Smitty"" Smith",4.03 avg rating — 29 ratings,False,
"Criminal, Vol. 1: Coward",Ed Brubaker,"4.16 avg rating — 9,114 ratings",False,
"Criminal: The Deluxe Edition, Vol. 1",Ed Brubaker,"4.51 avg rating — 1,802 ratings",False,
"Crimson: Loyalty and Loss - Tome 1 (Crimson, #1)",Brian Augustyn,3.74 avg rating — 228 ratings,False,
Crisis on Infinite Earths,Marv Wolfman,"4.02 avg rating — 18,515 ratings",False,
Crisis Zone,Simon Hanselmann,"4.24 avg rating — 1,315 ratings",False,
Critical Role: Vox Machina Origins Volume II,Matthew Mercer,"4.48 avg rating — 3,864 ratings",False,
Critical Role: Vox Machina Origins Volume III,Jody Houser,"4.32 avg rating — 1,933 ratings",False,
"Crossed, Vol. 1",Garth Ennis,"3.65 avg rating — 4,097 ratings",False,
Crumbs,Danie Stirling,"3.94 avg rating — 8,763 ratings",False,
Crushing,Sophie Burrows,"3.86 avg rating — 1,748 ratings",False,
Cryptid Club,Sarah Andersen,"4.27 avg rating — 6,104 ratings",False,
Cub,Cynthia L. Copeland,"4.08 avg rating — 1,279 ratings",False,
Cuisine Chinoise: Five Tales of Food and Life,Zao Dao,3.68 avg rating — 347 ratings,False,
Cult Girls,Natalie Grand,4.34 avg rating — 780 ratings,False,
"Curtain Call (Babymouse Tales from the Locker, #4)",Jennifer L. Holm,4.30 avg rating — 82 ratings,False,
Curtiss Hill,Pau,3.24 avg rating — 42 ratings,False,
Cyber Attack on America: SuperAvni and Dabung Girl: A new age Superhero Graphic Novel / Comic Book for teens and adolescents,Saurabh Agarwal,4.65 avg rating — 23 ratings,False,
Cyclopedia Exotica,Aminder Dhaliwal,"4.31 avg rating — 2,185 ratings",False,
"D.Gray-man, Vol. 1 (D.Gray-man, #1)",Katsura Hoshino,"4.20 avg rating — 29,351 ratings",False,
Dabung Girl and A Lost Friend: Superhero comic book for kids ( English graphic novel for children ) (Dabung Girl Comics in English),Saurabh Agarwal,4.66 avg rating — 56 ratings,False,
